"trial","ref_position","var_area","response","correct","rt"
1,"R",11.995611557737,"L",TRUE,5.25600004196167
2,"L",8.9729126857128,"R",FALSE,4.90799999237061
3,"L",10.6775174802169,"R",TRUE,4.12700009346008
4,"L",8.86942790541798,"L",TRUE,8.4760000705719
5,"L",9.09004225023091,"R",TRUE,1.28799986839294
6,"R",12.7229081399273,"L",TRUE,1.0789999961853
7,"L",12.0192726082169,"R",TRUE,1.7480001449585
8,"L",11.5892011332326,"R",TRUE,1.81099987030029
9,"L",13.1911105937324,"R",TRUE,1.41199994087219
10,"L",11.496528188698,"R",TRUE,1.20300006866455
11,"L",9.32615823182277,"L",FALSE,1.3989999294281
12,"L",12.3209949734155,"R",TRUE,1.09999990463257
13,"R",12.7425851186272,"L",TRUE,1.08599996566772
14,"R",12.4286791174673,"L",TRUE,1.10500001907349
15,"L",11.6006023767404,"R",TRUE,1.18300008773804
16,"L",11.2062284664717,"R",TRUE,1.29399991035461
17,"L",8.52678406960331,"L",TRUE,1.51900005340576
18,"R",10.7521555460989,"L",TRUE,1.29699993133545
19,"L",14.3522072671913,"R",TRUE,1.09800004959106
20,"L",13.4244820117019,"R",TRUE,1.01300001144409
21,"R",13.0141493913252,"L",TRUE,1.18799996376038
